call_id,client,voicebot,date,state,local_call_time,answered,right_party_contact,outcome,payment_collected,failed,call_duration_sec,qa_flag,compliance_flag,transcript
CLL0001,Summit Collections,Hannah,2026-06-21,NV,19:06,True,True,payment_collected,True,False,170,,False,"Agent: Good afternoon, I'm calling from your lender. Customer: Hi. Agent: Are you able to make a payment today? Customer: Sure, I have my card ready. Agent: Perfect, let me walk you through that."
CLL0002,Summit Collections,Maya,2026-06-24,CA,14:02,False,False,no_answer,False,True,0,,False,No answer.
CLL0003,Atlas Bank,Sofia,2026-06-25,AZ,18:44,True,True,payment_collected,True,False,58,,False,"Agent: Good afternoon, I'm calling from your lender. Customer: Hi. Agent: Are you able to make a payment today? Customer: Sure, I have my card ready. Agent: Perfect, let me walk you through that."
CLL0004,BrightPath Finance,Emma,2026-06-25,NY,14:21,True,True,promise_to_pay,False,False,48,,False,Agent: I'm reaching out about your balance. Customer: I'm a little short this week. Agent: When would you be able to pay? Customer: Next Tuesday for sure. Agent: I'll schedule that follow-up.
CLL0005,Cedar Credit,Nora,2026-06-23,WA,09:22,True,True,payment_collected,True,False,97,,False,"Agent: Hi, this is Hannah calling about your account. Customer: Yeah, go ahead. Agent: Can you make a payment today? Customer: Yes, I can pay today. Agent: Great, I can help process that payment."
CLL0006,Northstar Lending,Lily,2026-06-24,FL,09:59,True,False,already_paid,False,False,418,,False,Agent: Quick call about your account. Customer: I submitted payment Friday night. Agent: Thank you. Customer: I already paid — I shouldn't owe anything. Agent: Let me check records.
CLL0007,Atlas Bank,Ava,2026-06-24,CA,11:45,True,False,payment_plan,False,False,361,,False,"Agent: This is Sofia. Customer: Hi, I wanted to discuss splitting this up. Agent: Can you pay today? Customer: Only if we can spread it out monthly. Agent: I'll review eligibility with you."
CLL0008,Atlas Bank,Olivia,2026-06-26,NY,09:24,True,True,already_paid,False,False,85,,False,"Agent: This is a balance reminder. Customer: Wait, I paid last week — check your system. Agent: Thank you. Customer: I already paid and I have the confirmation email. Agent: I'll verify payment status."
CLL0009,BrightPath Finance,Zoe,2026-06-21,NV,18:17,True,True,already_paid,False,False,234,,False,"Agent: Hi, calling about an outstanding balance. Customer: My husband paid it Monday online. Agent: Thanks for confirming. Customer: We already paid. Agent: Okay, I'll verify payment status."
CLL0010,Summit Collections,Grace,2026-06-21,NY,15:24,True,True,already_paid,False,False,132,,False,"Agent: This is a balance reminder. Customer: Wait, I paid last week — check your system. Agent: Thank you. Customer: I already paid and I have the confirmation email. Agent: I'll verify payment status."
CLL0011,Summit Collections,Zoe,2026-06-26,NY,08:51,True,True,payment_collected,True,False,73,,False,"Agent: Good afternoon, I'm calling from your lender. Customer: Hi. Agent: Are you able to make a payment today? Customer: Sure, I have my card ready. Agent: Perfect, let me walk you through that."
CLL0012,BrightPath Finance,Nora,2026-06-21,FL,18:31,True,False,payment_collected,True,False,335,,False,"Agent: This is Maya with a payment reminder. Customer: Okay. Agent: Would you like to pay your balance today? Customer: Yes, let's do it. Agent: I'll help you complete the payment now."
CLL0013,Summit Collections,Olivia,2026-06-25,AZ,17:27,True,True,payment_collected,True,False,332,,False,"Agent: This is Maya with a payment reminder. Customer: Okay. Agent: Would you like to pay your balance today? Customer: Yes, let's do it. Agent: I'll help you complete the payment now."
CLL0014,BrightPath Finance,Lily,2026-06-20,WA,20:03,True,False,payment_collected,True,False,305,,False,"Agent: Calling about your past-due balance. Customer: I know, sorry about that. Agent: Can we take care of it today? Customer: Yeah I can cover it right now. Agent: Thank you, I'll start the payment."
CLL0015,Atlas Bank,Sofia,2026-06-23,FL,14:38,True,False,already_paid,False,False,261,,False,Agent: Are you able to pay today? Customer: I already paid yesterday through the portal. Agent: Thank you for letting me know. Customer: You should see it by now. Agent: I'll note that on your account.
